English	Spanish	Spanish verb
the student accounted for his absence	el estudiante justificó su ausencia	justificar
the student accounted for the loss of the book.	el estudiante explicó la pérdida del libro	explicar
the thief accounted for the missing money	el ladrón daba cuenta del dinero perdido	dar cuenta de
the book acts as an example	el libro sirve de ejemplo	servir de
the man acts as a manager 	el hombre hace de director 	hacer de
a lawyer acts for the client	un abogado representa al cliente	representar a
the state acted on the evidence	el estado reaccionó ante las pruebas	reaccionar ante
the drug acted on the immune system	el medicamento actuó sobre el sistema inmunitario	actuar sobre
the governor acted on the advice of the prime minister	el gobernador respondió al consejo del primer ministro	responder a
the actors acted out the characters	los actores representaron a los personajes	representar a
the actors act out their performances	los actores interpretan sus representaciones	interpretar
the tired child acted out	el niño cansado se comportó mal, el niño cansado se portó mal	comportar se mal, portar se mal
the tired child acted up	el niño cansado se comportó mal	comportar se mal
toddlers act up a lot	los bebes mayores se enrabietan mucho	enrabietar se
the priest cannot act upon his faith	el cura puede actuar por su fe	actuar por
the machines act upon the traditional mechanisms	las maquinas actúan sobre los mecanismos tradicionales	actuar sobre
the angles of a triangle add up to 180 degrees	los ángulos de un triángulo suman 180 grados	sumar
this strategy adds up to a sustainable world	esta estrategia lleva a un mundo sostenible, esta estrategia conduce a un mundo sostenible	llevar a, conducir a
the accounts add up well	las cuentas suman bien	sumar
the results add up	los resultados tienen sentido	tener sentido
the citizens adhere to the law	los ciudadanos acatan la ley	acatar
the students adhere to the school rules	los estudiantes obedecen las normas del colegio	obedecer
the worker adhered to the established conditions	el trabajador cumplió con las condiciones establecidas	cumplir con
the doctor advised against smoking	el medico aconsejó no fumar 	aconsejar no
the authorities advise against swimming in the sea	los autoridades desaconsejan nadar en el mar	desaconsejar
the girl agrees with the manager	la chica coincide con el director	coincidir con
the manager agrees with you	el director está de acuerdo contigo	estar de acuerdo con
the film is aimed at a young audience	la película se dirige a una audiencia joven	dirigir se a
the design allows for ground movement	el diseño tiene en cuenta el movimiento del suelo	tener en cuenta
the size does not allow for any expansion	el tamaño no permite ninguna ampliación	permitir
the text alludes to historical references	el texto alude a referencias históricas	aludir a
don’t answer your mother back	no le repliques a tu mamá	replicar a
the man answered back to the allegations	el hombre se defendió de las acusaciones	defender se de
his lawyer answers for the defendant	su abogado responde por el acusado	responder por
medical treatment is the answer for your problem	un tratamiento médico se adecúa a tu problema 	adecuar se a
the government appeals for assistance	el gobierno reclama asistencia, el gobierno solicita asistencia, el gobierno pide asistencia 	reclamar, solicitar, pedir
the queen appealed for the sovereign	la reina recurrió al soberano	recurrir a
the woman applies to the company	la mujer se presentó a la empresa	presentar se a
the politician applies to the new post	el político se postula al cargo nuevo	postular se a
the manager asked about the new hotel	el director preguntó por el hotel nuevo, el director preguntó sobre el hotel nuevo	preguntar por, preguntar sobre
the principal asked after the girl’s studies	el director preguntó por los estudios de la chica	preguntar por
the worker decided to ask around his colleagues	el trabajador decidió tantear a sus colegas	tantear a
the girl asked for a coffee	la chica pidió un café	pedir 
the boy asked for a response	el chico solicitó una respuesta	solicitar
the teacher asked for the boy’s name	el profesor preguntó por el nombre del chico	preguntar por
the man asked the woman in	el hombre invitó a entrar a la mujer	invitar a entrar a
the boss asked the workers in to the meeting room	el jefe invitó a pasar a los trabajadores a la sala de reuniones 	invitar a pasar a
the woman asked the handsome man out	la mujer invitó a salir al hombre guapo	invitar a salir a
the boss asked the worker out	el jefe mandó salir al trabajador	mandar salir a
the woman asked the man up to her apartment	la mujer invitó a subir al hombre a su piso	invitar a subir a
the teenager associates with criminals	el adolescente se junta con criminales	juntar se con
the student associates with idiots	el estudiante va con los tontos	ir con
the girl only associates with the popular kids	la niña solo anda con los niños guays	andar con
the private bank deals with rich clients	el banco privado trata con los clientes ricos	tratar con
the rope was attached to the gate	la cuerda estaba atada a la puerta	atar a
the participants attached peace ribbons to the wall	los participantes colocaron cintas de paz en la pared	colocar en
the scientist attached all the straps to the object	el científico ató todas las tiras al objeto 	abrochar a
